"STOTUNIT","APRACE","CONTROL","SEQUENCE.x","month","HCITY","ARELATE2","HHMTYPE","SAPPTAM","TSEX.x","THHEGAI","TPEGAI","THIGHEDU","TCURTENR","ALGNCUR","AELNG1","DPMTEXP","AMOVERS","age","ALEASETP","ACAROWN","w2012pc_Ad","b2012pc_Ad","a2012pc_Ad","hisp2012pc_Ad","logAdPrice","SAVLBAD","HZIP","HSITEAD","zip_Ad"
7,"1","AQ-SA-4401-1",1,5,"Los Lunas",1,1,2,1,"1","1","9",1,2,3,"2","1",24,"1","1",0.270256288865963,0,0,0.688046655254188,11.6342666074945,1,"87031","133 Vissing Pl","""87031"""
3,"4","AQ-SA-4407-1",1,5,"Edgewood",1,1,2,1,"7","3","4",1,4,5,"1","2",28,"2","1",0.671968190854871,0,0,0.291252485089463,11.6518261670192,1,"87015","19 Robert's Dr","""87015"""
2,"1","AQ-SA-4407-1",1,6,"Edgewood",1,1,2,1,"1","1","9",1,2,3,NA,"3",24,"1","1",0.671968190854871,0,0,0.291252485089463,11.6518261670192,1,"87015","19 Roberts Dr.","""87015"""
1,"4","AQ-SA-4423-1",2,5,"Alobuquerque",2,1,2,0,"3","2","7",2,4,8,"1","2",53,"2","1",0.588168796544769,0.0665137628408804,0,0.307339455885447,12.3673450484364,1,"87114","9303Battle Creek Trl NW","""87114"""
0,"4","AQ-SA-4423-1",1,5,"Alobuquerque",2,1,2,0,"3","2","7",2,4,8,"1","2",53,"2","1",0.588168796544769,0.0665137628408804,0,0.307339455885447,12.3673450484364,3,"87114","9303Battle Creek Trl NW","""87114"""
4,"1","AQ-SA-4423-1",1,5,"Albuquerque",2,1,2,0,"4","4","9",1,2,3,"2","4",44,"1","1",0.588168796544769,0.0665137628408804,0,0.307339455885447,12.3673450484364,1,"87114","9303 Battle Creek Trail Northwest","""87114"""
5,"4","AQ-SA-4429-1",1,6,"Albuquerque",1,1,1,0,"3","2","7",2,4,8,"1","2",53,"2","1",0.476729882102637,0.089422721056949,0.0259117086263682,0.379078700274645,11.8671042962101,1,"87120","5118 Camino VistaNW","""87120"""
5,"4","AQ-SA-4429-1",1,6,"Albuquerque",1,3,1,0,"3","2","7",2,4,8,"1","2",53,"2","1",0.633018580254875,0.0150077262721331,0.0131578950831025,0.300438604397507,11.643962499268,1,"87109","5907 mckinney Dr NE","""87109"""
0,"4","AQ-SA-4433-1",2,5,"Albuquerque",1,1,2,1,"2","2","11",1,4,4,"3","2",33,"2","1",0.255376243082546,0,0,0.740963849916534,11.7745279008585,6,"87002","707 Jarales Road, Belen NM","""87002"""
3,"4","AQ-SA-4433-1",1,5,"Albuquerque",1,1,2,1,"2","2","11",1,4,4,"3","2",33,"2","1",0.255376243082546,0,0,0.740963849916534,11.7745279008585,1,"87002","707 Jarales Road, Belen NM","""87002"""
