table,coeff,mothers,column,original,updated,outsiderange,updatemorediscrim,varianceoriginal,varianceupdated,variancedecrease,originalsignificance,updatedsignificance,maintainorimprovesignificance,v15,v16
13B,African,0,5,.0035000001,.011,0,0,.0068999999,.0133,0,0,0,0,0,0
13B,Hispanic,0,5,.0146,.0189,0,0,.0074999998,.013,0,1,0,0,0,1
13B,Asian,0,5,.0139,.013,0,1,.0071999999,.017100001,0,1,0,0,0,1
14A,Overall,0,1,-.0063999998,.0583,0,1,.048099998,.046999998,1,0,0,0,0,0
14A,African,0,1,-.0019,.0065000001,0,1,.0149,.0152,0,0,0,0,0,0
14A,Hispanic,0,1,.073299997,.0317,0,0,.044199999,.041000001,1,1,0,0,0,1
14A,Asian,0,1,.1169,.1221,0,1,.050999999,.040899999,1,2,3,1,0,0
14B,Overall,0,1,-.0117,.0098999999,0,0,.033599999,.0438,0,0,0,0,0,0
14B,African,0,1,.0263,-.0115,0,1,.040399998,.046700001,0,0,0,0,0,0
14B,Hispanic,0,1,.0307,.098399997,0,0,.066399999,.064900003,1,0,0,0,0,0
14B,Asian,0,1,-.089900002,-.0065000001,0,0,.0561,.064199999,0,0,0,0,0,0
14B,Overall,0,2,-.0116,.0099999998,0,0,.033599999,.0438,0,0,0,0,0,0
14B,African,0,2,.0262,-.0115,0,1,.040399998,.046700001,0,0,0,0,0,0
14B,Hispanic,0,2,.0305,.098399997,0,0,.066500001,.064900003,1,0,0,0,0,0
14B,Asian,0,2,-.089699998,-.0063,0,0,.0561,.064199999,0,0,0,0,0,0
14B,Overall,0,3,-.0107,.0113,0,0,.033599999,.044100001,0,0,0,0,0,0
14B,African,0,3,.0275,-.0112,0,1,.040399998,.046799999,0,0,0,0,0,0
14B,Hispanic,0,3,.036200002,.1032,0,0,.067100003,.064000003,1,0,0,0,0,0
14B,Asian,0,3,-.089599997,-.0055999998,0,0,.056000002,.064599998,0,0,0,0,0,0
14B,Overall,0,4,-.054000001,.0104,0,0,.037099998,.044,0,0,0,0,0,0
14B,African,0,4,-.0363,-.0113,0,0,.044500001,.046799999,0,0,0,0,0,0
14B,Hispanic,0,4,-.00039999999,-.0060000001,0,1,.069899999,.064000003,1,0,0,0,0,0
14B,Asian,0,4,-.1101,-.0155,0,0,.0592,.064599998,0,1,0,0,0,1
